 Omega Like
0 0.15 9.99501626389358e-115
1 0.1545 4.2391577377930157e-109
2 0.159 1.8360616036964484e-103
3 0.1635 7.695512650013295e-98
4 0.168 3.0308638191431333e-92
5 0.17250000000000001 1.0560936586760113e-86
6 0.17700000000000002 3.0968333440260446e-81
7 0.18150000000000002 7.271231527721634e-76
8 0.18600000000000003 1.2950102466044553e-70
9 0.19050000000000003 1.7223458313312343e-65
10 0.19500000000000003 1.6163087530367467e-60
11 0.19950000000000004 1.0559631368534143e-55
12 0.20400000000000004 4.62993811440534e-51
13 0.20850000000000005 1.3400621830374596e-46
14 0.21300000000000005 2.4734208727462458e-42
15 0.21750000000000005 2.8906361242735284e-38
16 0.22200000000000006 2.1098816840810265e-34
17 0.22650000000000006 9.443929208081128e-31
18 0.23100000000000007 2.59524593911847e-27
19 0.23550000000000007 4.363753769246065e-24
20 0.24000000000000007 4.444217554045209e-21
21 0.24450000000000008 2.7653125023752293e-18
22 0.24900000000000008 1.0417475096674613e-15
23 0.25350000000000006 2.3758293337590725e-13
24 0.25800000000000006 3.341822102418985e-11
25 0.26250000000000007 2.8755581440412388e-09
26 0.26700000000000007 1.5064696976179558e-07
27 0.2715000000000001 5.0926919284327024e-06
28 0.2760000000000001 0.00010626788784753225
29 0.2805000000000001 0.0014077161129022453
30 0.2850000000000001 0.011985877562092708
31 0.2895000000000001 0.065747684871387
32 0.2940000000000001 0.23836085669693866
33 0.2985000000000001 0.5695327381709315
34 0.3030000000000001 0.9165910944506848
35 0.3075000000000001 1.0
36 0.3120000000000001 0.7584001754014018
37 0.3165000000000001 0.39742175587763645
38 0.3210000000000001 0.1484217563696024
39 0.3255000000000001 0.039585635375350606
40 0.3300000000000001 0.0076981267947589796
41 0.33450000000000013 0.0010946016190744624
42 0.33900000000000013 0.00011631477444338512
43 0.34350000000000014 9.329359165007643e-06
44 0.34800000000000014 5.724271112494447e-07
45 0.35250000000000015 2.7499139722378544e-08
46 0.35700000000000015 1.009525284889184e-09
47 0.36150000000000015 2.961153571117681e-11
48 0.36600000000000016 7.055801420995761e-13
49 0.37050000000000016 1.3489833380276519e-14
50 0.37500000000000017 2.1231789275401297e-16
51 0.37950000000000017 2.7856384268732794e-18
52 0.3840000000000002 3.163903209647798e-20
53 0.3885000000000002 2.8145452460597176e-22
54 0.3930000000000002 2.227663425969383e-24
55 0.3975000000000002 1.5671717124041973e-26
56 0.4020000000000002 9.072398813443642e-29
57 0.4065000000000002 5.102608660373576e-31
58 0.4110000000000002 2.381441985193834e-33
59 0.4155000000000002 9.947091684410818e-36
60 0.4200000000000002 3.4870730663093025e-38
61 0.4245000000000002 1.1927951443827583e-40
62 0.4290000000000002 3.7597337367361975e-43
63 0.4335000000000002 1.0867180856362629e-45
64 0.4380000000000002 2.9313984481092246e-48
65 0.4425000000000002 8.114504164651939e-51
66 0.44700000000000023 1.9440548557231883e-53
67 0.45150000000000023 4.394747876448492e-56
68 0.45600000000000024 9.490305051328332e-59
69 0.46050000000000024 1.7304483114799405e-61
70 0.46500000000000025 3.415451804370962e-64
71 0.46950000000000025 6.547041549881265e-67
72 0.47400000000000025 1.2218107412278861e-69
73 0.47850000000000026 2.227822637495053e-72
74 0.48300000000000026 4.668586894820916e-75
75 0.48750000000000027 8.420945310598167e-78
76 0.49200000000000027 1.47014524332188e-80
77 0.4965000000000003 2.6414747030254316e-83
78 0.5010000000000002 4.900928519506173e-86
79 0.5055000000000002 1.1709867213040562e-88
80 0.5100000000000001 1.4544273417463797e-91
81 0.5145000000000001 2.643443877493533e-94
82 0.519 3.9552862146801144e-97
83 0.5235 8.956462684061559e-100
84 0.5279999999999999 1.6374853435293066e-102
85 0.5324999999999999 3.2289900516539736e-105
86 0.5369999999999998 6.369903214848437e-108
87 0.5414999999999998 1.3052782481360518e-110
88 0.5459999999999997 2.7379451724546075e-113
89 0.5504999999999997 5.886961660496167e-116
90 0.5549999999999996 1.3184603321591454e-118
91 0.5594999999999996 2.999824561175941e-121
92 0.5639999999999995 7.128789542377849e-124
93 0.5684999999999995 1.7687759774253555e-126
94 0.5729999999999994 4.5866384574157185e-129
95 0.5774999999999993 1.1985057231711366e-131
96 0.5819999999999993 3.4065783842546735e-134
97 0.5864999999999992 9.835076187326021e-137
98 0.5909999999999992 3.05739968716326e-139
99 0.5954999999999991 9.671004376960539e-142
100 0.5999999999999991 3.2524114602316774e-144
